Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L88	0.942344835972214	0.0133615643230531	0.0601028059388663	0.651377117635862	0.187314265948149	0.1182615635308	0.0221450627824306
L89	0.575192313991848	0.00755531623286764	0.0121857803553448	0.626740961486724	0.162678109799011	0.0561582396407875	0.0139071307649245
L90	0.679043203348097	0.0183819055618999	0.0121857803553448	0.641519950031716	0.177457098344003	0.121627970074652	0.0285331071408595
L91	0.696620255974894	0.146279184157	0.210075040786658	0.560124039496071	0.0960611878083582	0.120017083901648	0.18328958014853
L92	0.360439797141992	0.101740983505385	0.210075040786658	0.594386967901915	0.130324116214202	0.158911875008615	0.133937497272911
L93	0.5626526870085	0.0360926807313132	0.0465329850745106	0.636566927132965	0.172504075445252	0.152303138392524	0.0528681520571349
R100	0.6001969643614	0.0404588778951321	0.146489183935209	0.517854185152322	0.14137270367084	0.0986096752317268	0.058849276938374
R105	0.744671010274912	0.00207795724952405	0.0199644533052161	0.698238265971317	0.321756784489835	0.135238329989212	0.00485634952697756
R137	0.871929177595143	0.280254397950813	0.391267279282639	0.447508232362906	0.0710267508814249	0.113566595478098	0.322060302617509
R157	0.680595701123587	0.116697250421383	0.193930852282411	0.542353950372818	0.165872468891337	0.250821678581584	0.150297387539614
R172	0.700512044200005	0.00620032106604763	0.0199644533052161	0.721514198178192	0.34503271669671	0.19666122771031	0.0117242434703446
R180	0.822369682324487	0.780993325044276	1	0.393555008210181	0.0170735267286992	0.121564907693273	0.812233058046047
R214	0.996542357384685	0.0163199096640075	0.0606019697120061	0.579162149906831	0.202680668425349	0.134056652975913	0.0259125283214776
R22	0.395321228928883	0.145817439612326	0.153576396549984	0.647286821705426	0.270805340223945	0.762229598920098	0.183263005675915
R240	0.790886533783001	0.00124254957809889	0.0294010481903397	0.916666666666667	0.540185185185185	0.265203858773642	0.00307678943148296
R258	0.468866705819274	0.00563306630442957	0.0199644533052161	0.736856280973928	0.360374799492447	0.202656490109032	0.0110016694020784
R264	0.40834128128133	0.00861174508729437	0.0199644533052161	0.211026653085477	-0.165454828396005	0.0582422332002175	0.0154417498117002
R278	0.820003661167908	0.131088960176676	0.2187420100109	0.471365391714229	0.0948839102327474	0.0963018833818023	0.166767606830267
R31	0.533786002422094	0.00263639331609265	0.0303828219765775	0.79384236453202	0.417360883050538	0.229173695388266	0.00577231378681339
R322	0.259026064611827	0.030470320284681	0.0303828219765775	0.702345415778252	0.32586393429677	0.339679652521221	0.0449491249589621
R65	0.533138891050178	0.507055564914555	0.54029137460742	0.342324408559189	-0.0341570729222928	0.0715434449103879	0.549310195324101
R101	0.0315847028710049	6.91387784666285e-06	0.0109094983642693	1	0.701030982905983	9.74763639899437e-17	5.42674185700329e-05
R135	0.298509394889996	0.521220041671521	0.834531622710929	0.332388494922871	0.0334194778288535	0.122679437298321	0.563188408663253
R136	0.584885408984694	0.000447213587672477	0.0121857803553448	0.583011722798873	0.284042705704856	0.122346902801843	0.0013579624268011
R181	0.269041767599689	0.000224381194737408	0.0121857803553448	0.645894777185589	0.346925760091572	0.137996441384284	0.000771426256287288
R219	0.110020631484741	0.00712006835701331	0.0368884257070499	0.763249932741458	0.464280915647441	0.65954852840229	0.0132229840915962
R274	0.184528471573813	0.0109291513466755	0.0601028059388663	0.539665951338057	0.240696934244039	0.192449111482182	0.0189438623342375
R61	0.402002079891135	0.131904109386416	0.0946929425994759	0.388783104593375	0.0898140874993579	0.134193963511922	0.167293016782772
R77	0.214009432146441	0.000301704985891754	0.0368884257070499	0.832704402515723	0.533735385421706	0.381508013791543	0.000988262001031257
R11	0.437411285808575	0.42712092985052	0.403395304892628	0.28573988448832	-0.0520529261088384	0.148740666295276	0.47381948484751
R127	0.468661429729625	0.000289268844430504	0.0121857803553448	0.769444444444444	0.431651633847286	0.175699396331397	0.000955046343516584
R131	0.80111943225425	0.000216918735881653	0.0121857803553448	0.765516151177916	0.427723340580758	0.16456124891458	0.00075830415232578
R147	0.202321102767792	0.000781278938896516	0.0121857803553448	0.520785507468556	0.182992696871397	0.0408911208091095	0.00205703821886678
R217	0.13661139227046	0.0011877345665634	0.0199644533052161	0.531810570381999	0.194017759784841	0.0320980246797194	0.00295866814185852
R239	0.0815136838905193	0.010209364885676	0.0361451420465623	0.759063545150502	0.421270734553343	0.338830797571714	0.0180727480529414
R4	0.10611127017455	0.00641641043183489	0.0121857803553448	0.21722371967655	-0.120569090920609	0.0255228180516947	0.0120779490481598
R53	0.676719283456317	0.356102184187469	0.530869303968508	0.387487508389887	0.0496946977927289	0.110125939720405	0.401459372959315
R60	0.373806129231498	0.0978865508530072	0.177909594986983	0.444658369863288	0.10686555926613	0.155659389930201	0.130935064806595
R71	0.62379402515105	0.0171165462966299	0.0367138563627041	0.528643885665162	0.190851075068004	0.153336852108185	0.0269378932439618
R74	0.543749664994485	0.000138993844812387	0.0199644533052161	0.823420804525456	0.485627993928297	0.195831401731817	0.000535383698536604
R85	0.440440213842982	0.00917487239429416	0.0121857803553448	0.660163349012454	0.322370538415295	0.247040397128343	0.0163808880516153
R9	0.983216290369645	0.000705724073079258	0.0121857803553448	0.58224537037037	0.244452559773212	0.0922837740327333	0.00193145535790113
R179	0.000286153543014038	0.00575555614420766	0.0194510333313625	0.848135964912281	0.558363785962248	0.279472569572174	0.0111363318883274
RCL10	0.869757076106437	0.0150697296299057	0.0367138563627041	0.500764853595042	0.193715798951112	0.129493924939233	0.0242889530904418
RCL11	0.399131026596821	8.07101206295585e-06	0.0121857803553448	0.791481620497373	0.484432565853443	0.0645274463986975	5.93326809784124e-05
RCL12A	0.45278882662947	0.00579388638451629	0.0121857803553448	0.675124875124875	0.368075820480945	0.247811128198978	0.0111585959998091
RCL130	0.314723647418415	0.237537530574365	0.133701125808964	0.231182795698925	-0.0758662589450056	0.0809638954522748	0.279140148923548
